source_id,source_text_normalized,source_type,relation,target_id,target_text_normalized,target_type,edge_count
N1,ad,disease,abbreviation_for,N2,alzheimer's disease,disease,47
N8,mci,disease,abbreviation_for,N21,mild cognitive impairment,disease,6
N3,abeta,gene,abbreviation_for,N22,amyloid-beta,gene,4
N3,abeta,gene,abbreviation_for,N27,amyloid beta,gene,4
N2,alzheimer's disease,disease,hyponym_of,N14,neurodegenerative disease,disease,3
N2,alzheimer's disease,disease,hyponym_of,N4,dementia,disease,2
N2,alzheimer's disease,disease,risk_factor_of,N4,dementia,disease,2
N2,alzheimer's disease,disease,hyponym_of,N128,neurodegenerative disorder,disease,2
N23,amci,disease,abbreviation_for,N205,amnestic mild cognitive impairment,disease,2
N19,mmse,method,abbreviation_for,N210,mini-mental state examination,method,2
N132,bmi,other,abbreviation_for,N122,body mass index,other,2
N136,npi,method,abbreviation_for,N135,neuropsychiatric inventory,method,2
N125,csf,other,abbreviation_for,N226,cerebrospinal fluid,other,2
N2,alzheimer's disease,disease,hyponym_of,N12,neurodegenerative diseases,disease,2
N237,cns,other,abbreviation_for,N143,central nervous system,other,2
N15,load,disease,abbreviation_for,N246,late-onset ad,disease,2
N9,apoe,gene,abbreviation_for,N80,apolipoprotein e,gene,2
N254,popc,drug,abbreviation_for,N253,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,drug,2
N2,alzheimer's disease,disease,hyponym_of,N256,neurological disorders,disease,2
N31,stress-related disorders,disease,associated_with,N12,neurodegenerative diseases,disease,2
N3,abeta,gene,abbreviation_for,N262,amyloid beta-protein,gene,2
N759,amyloid imaging,method,help_diagnose,N1,ad,disease,2
N67,tgfbeta,gene,abbreviation_for,N272,transforming growth factor-beta,gene,2
N903,genetic network,method,help_diagnose,N2,alzheimer's disease,disease,2
N175,kami guibi-tang,drug,treatment_for,N21,mild cognitive impairment,disease,2
N1228,s4309,mutation,associated_with,N1,ad,disease,2
N72,rs4343,mutation,associated_with,N1,ad,disease,2
N367,alpha-amylase 1a,gene,associated_with,N368,memory performance,other,1
N367,alpha-amylase 1a,gene,associated_with,N56,alzheimer's dementia,disease,1
N370,alpha ( alpha ) - amylase gene,gene,associated_with,N122,body mass index,other,1
N42,amy1a,gene,associated_with,N122,body mass index,other,1
N42,amy1a,gene,abbreviation_for,N370,alpha ( alpha ) - amylase gene,gene,1
N191,insulin resistance,disease,risk_factor_of,N56,alzheimer's dementia,disease,1
N57,glucose,drug,risk_factor_of,N56,alzheimer's dementia,disease,1
N1,ad,disease,abbreviation_for,N56,alzheimer's dementia,disease,1
N192,amy1a,disease,associated_with,N1,ad,disease,1
N194,moca,method,abbreviation_for,N193,montreal cognitive assessment,method,1
N43,alpha-amylase,gene,associated_with,N42,amy1a,gene,1
N42,amy1a,gene,associated_with,N373,decreased hazard ratio of ad,other,1
N77,beta-secretase,gene,treatment_for,N2,alzheimer's disease,disease,1
N44,bace1,gene,abbreviation_for,N77,beta-secretase,gene,1
N393,deposition of the beta-amyloid peptide,other,risk_factor_of,N1,ad,disease,1
N393,deposition of the beta-amyloid peptide,other,characteristic_of,N1,ad,disease,1
N3,abeta,gene,abbreviation_for,N394,beta-amyloid peptide,gene,1
N3,abeta,gene,abbreviation_for,N393,deposition of the beta-amyloid peptide,other,1
N395,mds-oabeta,gene,abbreviation_for,N22,amyloid-beta,gene,1
N399,sec,method,abbreviation_for,N398,size exclusion chromatography,method,1
N403,apoe epsilon4 allele,gene,risk_factor_of,N404,sporadic alzheimer's disease,disease,1
N79,coconut oil,drug,treatment_for,N2,alzheimer's disease,disease,1
N409,mcfas,drug,abbreviation_for,N408,medium-chain fatty acids,drug,1
N80,apolipoprotein e,gene,help_diagnose,N2,alzheimer's disease,disease,1
N124,apoe4,gene,abbreviation_for,N423,apolipoprotein e4,gene,1
N424,enhanced dementia,disease,associated_with,N2,alzheimer's disease,disease,1
N124,apoe4,gene,associated_with,N1,ad,disease,1
N125,csf,other,abbreviation_for,N426,cerebral spinal fluid,other,1
N430,dti,method,abbreviation_for,N429,diffusion tensor imaging,method,1
N126,ga,other,abbreviation_for,N437,golgi apparatus,other,1
N202,phospho-tau,gene,associated_with,N126,ga,other,1
N29,cathepsin d,gene,hyponym_of,N445,lysosomal enzyme,gene,1
N457,hhc,other,abbreviation_for,N456,hca hospice care,other,1
N459,emr,other,abbreviation_for,N458,electronic medical records,other,1
N467,solanezumab,drug,hyponym_of,N3,abeta,gene,1
N468,gantenerumab,drug,hyponym_of,N3,abeta,gene,1
N469,crenezumab,drug,hyponym_of,N3,abeta,gene,1
N470,aadvac1,gene,hyponym_of,N204,tau protein,gene,1
N471,aci-35,gene,hyponym_of,N204,tau protein,gene,1
N475,idalopirdine,drug,abbreviation_for,N474,5-ht6 antagonist,drug,1
N46,apathy,disease,hyponym_of,N494,multidimensional syndrome,disease,1
N495,c-reactive protein,gene,associated_with,N18,alzheimer disease,disease,1
N496,crp,gene,abbreviation_for,N495,c-reactive protein,gene,1
N497,crp,method,associated_with,N208,poststroke apathy,disease,1
N131,psa,disease,abbreviation_for,N208,poststroke apathy,disease,1
N499,aes-c,method,abbreviation_for,N498,apathy evaluation scale-clinical,method,1
N501,nihss,method,abbreviation_for,N500,national institutes of health stroke scale,method,1
N502,bi,method,abbreviation_for,N209,barthel index,method,1
N504,hamd,method,abbreviation_for,N503,hamilton depression scale,method,1
N506,hama,method,abbreviation_for,N505,hamilton anxiety scale,method,1
N46,apathy,disease,associated_with,N508,nihss,disease,1
N46,apathy,disease,associated_with,N509,bi,other,1
N46,apathy,disease,associated_with,N19,mmse,method,1
N46,apathy,disease,associated_with,N212,hamd,disease,1
N46,apathy,disease,associated_with,N213,crp,disease,1
N46,apathy,disease,associated_with,N122,body mass index,other,1
N131,psa,disease,associated_with,N510,crp concentrations,other,1
N213,crp,disease,associated_with,N46,apathy,disease,1
N132,bmi,other,associated_with,N46,apathy,disease,1
N512,mmse,other,associated_with,N46,apathy,disease,1
N13,depression,disease,associated_with,N46,apathy,disease,1
N214,disability,disease,associated_with,N46,apathy,disease,1
N46,apathy,disease,risk_factor_of,N131,psa,disease,1
N514,immunotherapy targeting abeta42,method,treatment_for,N2,alzheimer's disease,disease,1
N85,24b3,drug,treatment_for,N133,memory deficit,disease,1
N216,nasa-tlx,method,abbreviation_for,N517,national aeronautics and space administration task load index,method,1
N519,ica,other,abbreviation_for,N518,index of cognitive activity,method,1
N521,erps,other,abbreviation_for,N520,event-related potentials,other,1
N523,icc,other,abbreviation_for,N522,intraclass correlation coefficients,other,1
N218,sarcopenia,disease,hyponym_of,N525,age-related loss of skeletal muscle mass,disease,1
N527,skeletal muscle loss,disease,risk_factor_of,N528,hyperglycemia,disease,1
N527,skeletal muscle loss,disease,risk_factor_of,N191,insulin resistance,disease,1
N531,insulin-like growth factor,gene,associated_with,N535,poor cognitive performance,other,1
N532,igf-1,gene,abbreviation_for,N531,insulin-like growth factor,gene,1
N533,insulin receptor substrate,other,associated_with,N535,poor cognitive performance,other,1
N534,irs-1,other,abbreviation_for,N533,insulin receptor substrate,other,1
N13,depression,disease,hyponym_of,N537,psychiatric symptom,disease,1
N13,depression,disease,characteristic_of,N2,alzheimer's disease,disease,1
N13,depression,disease,risk_factor_of,N16,cognitive decline,disease,1
N1,ad,disease,risk_factor_of,N16,cognitive decline,disease,1
N539,hamd-17,method,abbreviation_for,N538,hamilton depression rating scale,method,1
N137,nd-ad,disease,abbreviation_for,N540,non-depressed ad,disease,1
N543,acg,other,abbreviation_for,N542,anterior cingulate gyrus,other,1
N15,load,disease,abbreviation_for,N220,late-onset alzheimer's disease,disease,1
N551,proactive semantic interference deficits,disease,associated_with,N552,functional magnetic resonance imaging,method,1
N123,fmri,method,abbreviation_for,N552,functional magnetic resonance imaging,method,1
N86,o-load,disease,abbreviation_for,N15,load,disease,1
N553,cs,disease,abbreviation_for,N24,neurodegenerative disorders,disease,1
N554,lassi-l,method,help_diagnose,N24,neurodegenerative disorders,disease,1
N559,limbic circuit dysfunction,disease,characteristic_of,N15,load,disease,1
N222,metabolomics,method,help_diagnose,N2,alzheimer's disease,disease,1
N223,oa,disease,abbreviation_for,N87,osteoarthritis,disease,1
N223,oa,disease,risk_factor_of,N4,dementia,disease,1
N87,osteoarthritis,disease,associated_with,N4,dementia,disease,1
N11,bvftd,disease,abbreviation_for,N574,behavioral variant frontotemporal dementia,disease,1
N577,discriminability,other,associated_with,N578,language,other,1
N36,echinacoside,drug,treatment_for,N47,memory impairment,disease,1
N36,echinacoside,drug,treatment_for,N579,cholinergic deficit,disease,1
N36,echinacoside,drug,hyponym_of,N580,phenylethanoid glycoside,drug,1
N36,echinacoside,drug,treatment_for,N45,cognitive deficits,disease,1
N36,echinacoside,drug,treatment_for,N585,amyloid deposition,disease,1
N36,echinacoside,drug,treatment_for,N586,cortical cholinergic dysfunction,disease,1
N61,abeta 1-42,gene,risk_factor_of,N586,cortical cholinergic dysfunction,disease,1
N36,echinacoside,drug,treatment_for,N63,cognitive dysfunction,disease,1
N36,echinacoside,drug,treatment_for,N588,amyloid neurotoxicity,disease,1
N61,abeta 1-42,gene,risk_factor_of,N63,cognitive dysfunction,disease,1
N589,structural neuroimaging,method,help_diagnose,N590,cerebral atrophy,disease,1
N591,functional imaging,method,help_diagnose,N30,neurodegeneration,disease,1
N591,functional imaging,method,help_diagnose,N4,dementia,disease,1
N227,amyloid beta1-42,gene,help_diagnose,N1,ad,disease,1
N593,csf total-tau,gene,help_diagnose,N1,ad,disease,1
N202,phospho-tau,gene,help_diagnose,N1,ad,disease,1
N5,tau,gene,associated_with,N230,tip5,gene,1
N5,tau,gene,associated_with,N598,ribosomal,gene,1
N89,rdna,gene,abbreviation_for,N598,ribosomal,gene,1
N89,rdna,gene,abbreviation_for,N599,ribosomal dna,gene,1
N5,tau,gene,associated_with,N231,heterochromatin,gene,1
N5,tau,gene,associated_with,N600,dna,gene,1
N5,tau,gene,associated_with,N601,dna methylation,other,1
N89,rdna,gene,associated_with,N601,dna methylation,other,1
N5,tau,gene,associated_with,N89,rdna,gene,1
N141,glutamate,drug,associated_with,N5,tau,gene,1
N141,glutamate,drug,risk_factor_of,N602,nucleolar stress,disease,1
N602,nucleolar stress,disease,associated_with,N5,tau,gene,1
N603,thr231,gene,abbreviation_for,N5,tau,gene,1
N233,soluble phospho-tau,gene,risk_factor_of,N234,microglial degeneration,disease,1
N608,accumulation of intraneuronal soluble phospho-tau,other,risk_factor_of,N234,microglial degeneration,disease,1
N609,multi-target-directed ligands,method,treatment_for,N2,alzheimer's disease,disease,1
