node_id,node_text_normalized,node_type,mention_count
N1,schizophrenia,disease,118
N2,depression,disease,102
N3,mdd,disease,60
N4,ci,method,59
N5,anxiety,disease,40
N6,bipolar disorder,disease,32
N7,mental disorders,disease,31
N8,smd,method,30
N9,age,Health_factors,27
N10,children,Health_factors,25
N11,women,Health_factors,25
N12,anxiety disorders,disease,22
N13,or,method,21
N14,depressive symptoms,disease,20
N15,mortality,disease,18
N16,cnvs,gene,18
N17,ocd,disease,18
N18,major depression,disease,16
N19,emraclidine,drug,16
N20,adhd,disease,14
N21,relapse,disease,14
N22,aged,Health_factors,13
N23,major depression disorder,disease,12
N24,ptsd,disease,12
N25,t2dm,disease,12
N26,major depressive disorder,disease,11
N27,rr,method,11
N28,schizophrenia spectrum disorders,disease,11
N29,post-traumatic stress disorder,disease,11
N30,follow-up,method,11
N31,se,method,11
N32,substance use disorders,disease,11
N33,illness,disease,10
N34,adults,Health_factors,10
N35,mice,method,10
N36,cannabis,drug,10
N37,psychotic disorders,disease,10
N38,mbrp,method,10
N39,breast cancer,disease,10
N40,sd,method,9
N41,depressive disorders,disease,9
N42,systematic review,method,9
N43,loneliness,disease,9
N44,tau,method,9
N45,prazosin,drug,9
N46,productive engagement,Health_factors,9
N47,meta-analyses,method,9
N48,pubmed,method,8
N49,cognitive behavioral therapy,method,8
N50,rp,method,8
N51,maps,method,8
N52,bpd,disease,8
N53,antidepressants,drug,7
N54,interventions,method,7
N55,network meta-analysis,method,7
N56,brain,region,7
N57,gut microbiota,Health_factors,7
N58,disability,disease,7
N59,physical activity,Health_factors,7
N60,men,Health_factors,7
N61,obsessive-compulsive disorder,disease,7
N62,sertraline,drug,7
N63,death,disease,7
N64,physicians,Health_factors,7
N65,solution-focused brief therapy,method,7
N66,healthy controls,method,6
N67,anxiety symptoms,disease,6
N68,bipolar depression,disease,6
N69,autism,disease,6
N70,pathogenesis,disease,6
N71,musculoskeletal pain,disease,6
N72,pain,disease,6
N73,sex,Health_factors,6
N74,mental health,Health_factors,6
N75,cognitive behaviour therapy,method,6
N76,drug,drug,6
N77,dcg iv-induced ltd,disease,6
N78,psilocybin,drug,6
N79,pregnancy,physiology,6
N80,treatment-resistant schizophrenia,disease,6
N81,females,Health_factors,6
N82,genes,gene,6
N83,alcohol use disorders,disease,6
N84,self-harm,disease,6
N85,interpersonal violence,Health_factors,6
N86,heavy drinking,Health_factors,6
N87,ylls,Health_factors,6
N88,fluvoxamine,drug,6
N89,guided parent-delivered cbt,method,6
N90,genetic biomarkers,signs,6
N91,hr,method,5
N92,mixed states,symptom,5
N93,self-reported,method,5
N94,mood disorders,disease,5
N95,pdm,method,5
N96,usual care,method,5
N97,psycinfo,method,5
N98,depression symptoms,disease,5
N99,health anxiety,disease,5
N100,standard care,method,5
N101,odds ratio,method,5
N102,sleep-wake disturbances,disease,5
N103,positive symptoms,disease,5
N104,antipsychotics,drug,5
N105,treatment resistance,physiology,5
N106,pacap,gene,5
N107,acc,region,5
N108,drug use disorders,disease,5
N109,smi,method,5
N110,neurogenesis,physiology,5
N111,subthalamic nucleus,region,5
N112,uc,Health_factors,5
N113,calm,method,5
N114,cannabis phenotypes,Health_factors,5
N115,cardiovascular disease,disease,5
N116,dalys,Health_factors,5
N117,ylds,Health_factors,5
N118,ui,method,5
N119,rg transgenic mice,method,5
N120,depressed,disease,4
N121,confidence interval,method,4
N122,neurobiology,method,4
N123,human,Health_factors,4
N124,sedative exposure,Health_factors,4
