example_id,sentence,source_text,source_norm,source_type,relation,target_text,target_norm,target_type
0,CONCLUSIONS : Self-guided internet-based interventions are deemed a suitable first-step approach to the treatment of depression .,Self-guided internet-based interventions,self-guided internet-based interventions,method,treatment_for,depression,depression,disease
1,CONCLUSIONS : A history of stroke was associated with increased mortality among very old people but only among those who were also depressed .,history of stroke,history of stroke,Health_factors,risk_factor_of,mortality,mortality,disease
1,CONCLUSIONS : A history of stroke was associated with increased mortality among very old people but only among those who were also depressed .,mortality,mortality,disease,occurs_in,old people,old people,Health_factors
2,"Importantly , the antidepressant fluoxetine restores both adult neurogenesis and depressive states , and improves most olfactory functions .",antidepressant fluoxetine,antidepressant fluoxetine,drug,treatment_for,adult neurogenesis,adult neurogenesis,physiology
2,"Importantly , the antidepressant fluoxetine restores both adult neurogenesis and depressive states , and improves most olfactory functions .",antidepressant fluoxetine,antidepressant fluoxetine,drug,treatment_for,depressive states,depressive states,disease
2,"Importantly , the antidepressant fluoxetine restores both adult neurogenesis and depressive states , and improves most olfactory functions .",antidepressant fluoxetine,antidepressant fluoxetine,drug,treatment_for,olfactory functions,olfactory functions,physiology
3,"Having a history of depression was associated with a multivariate-adjusted hazard ratio ( HR ) of 1 . 29 ( 95 % confidence interval [ CI ] , 1 . 13-1 . 48 ) for total stroke .",HR,hr,method,abbreviation_for,multivariate-adjusted hazard ratio,multivariate-adjusted hazard ratio,method
3,"Having a history of depression was associated with a multivariate-adjusted hazard ratio ( HR ) of 1 . 29 ( 95 % confidence interval [ CI ] , 1 . 13-1 . 48 ) for total stroke .",CI,ci,method,abbreviation_for,confidence interval,confidence interval,method
4,"Here , we show that female mice treated neonatally with a highly selective serotonin reuptake inhibitor , escitalopram , exhibited signs of depression in the form of sleep anomalies , anhedonia , increased helplessness reversed by chronic antidepressant treatment , enhanced response to acute stress , and increased serotoninergic autoinhibitory feedback .",chronic antidepressant treatment,chronic antidepressant treatment,method,treatment_for,helplessness,helplessness,disease
5,Continuum of depressive and manic mixed states in patients with bipolar disorder : quantitative measurement and clinical features .,depressive and manic mixed states,depressive and manic mixed states,disease,occurs_in,bipolar disorder,bipolar disorder,disease
10,"In 88 subjects with bipolar disorder ( DSM-IV ) , we evaluated symptoms and clinical characteristics , and compared depression-based , mania-based , and other published definitions of mixed states .",DSM-IV,dsm-iv,method,abbreviation_for,bipolar disorder,bipolar disorder,disease
11,"We developed an index of the extent to which symptoms were mixed ( Mixed State Index , MSI ) and characterized its relationship to clinical state .",MSI,msi,method,abbreviation_for,Mixed State Index,mixed state index,method
13,Anxiety correlated significantly with depression scores in manic subjects and with mania scores in depressed subjects .,Anxiety,anxiety,disease,associated_with,depression,depression,disease
13,Anxiety correlated significantly with depression scores in manic subjects and with mania scores in depressed subjects .,Anxiety,anxiety,disease,associated_with,mania,mania,disease
13,Anxiety correlated significantly with depression scores in manic subjects and with mania scores in depressed subjects .,depression,depression,disease,occurs_in,manic,manic,disease
13,Anxiety correlated significantly with depression scores in manic subjects and with mania scores in depressed subjects .,depression,depression,disease,occurs_in,depressed,depressed,disease
13,Anxiety correlated significantly with depression scores in manic subjects and with mania scores in depressed subjects .,mania,mania,disease,occurs_in,depressed,depressed,disease
14,"Discriminant function analysis associated mixed states with symptoms of hyperactivity and negative cognitions , but not subjective depressive or elevated mood .",Discriminant function analysis,discriminant function analysis,method,associated_with,negative cognitions,negative cognitions,physiology
14,"Discriminant function analysis associated mixed states with symptoms of hyperactivity and negative cognitions , but not subjective depressive or elevated mood .",mixed states,mixed states,disease,associated_with,hyperactivity,hyperactivity,disease
14,"Discriminant function analysis associated mixed states with symptoms of hyperactivity and negative cognitions , but not subjective depressive or elevated mood .",mixed states,mixed states,disease,associated_with,negative cognitions,negative cognitions,physiology
15,High MSI scores were associated with severe course of illness .,MSI,msi,method,associated_with,illness,illness,disease
22,Depression was defined as physician - or clinician-diagnosed depression or antidepressant use and was self-reported in response to periodic questionnaires .,physician - or clinician-diagnosed,physician - or clinician-diagnosed,Health_factors,help_diagnose,Depression,depression,disease
22,Depression was defined as physician - or clinician-diagnosed depression or antidepressant use and was self-reported in response to periodic questionnaires .,questionnaires,questionnaires,method,help_diagnose,Depression,depression,disease
22,Depression was defined as physician - or clinician-diagnosed depression or antidepressant use and was self-reported in response to periodic questionnaires .,questionnaires,questionnaires,method,help_diagnose,depression,depression,disease
22,Depression was defined as physician - or clinician-diagnosed depression or antidepressant use and was self-reported in response to periodic questionnaires .,questionnaires,questionnaires,method,help_diagnose,antidepressant use,antidepressant use,Health_factors
24,"Depression is a common , devastating illness .",Depression,depression,disease,hyponym_of,illness,illness,disease
27,"Environmental events and other risk factors contribute to depression through converging molecular and cellular mechanisms that disrupt neuronal function and morphology , resulting in dysfunction of the circuitry that is essential for mood regulation and cognitive function .",Environmental events,environmental events,Health_factors,risk_factor_of,depression,depression,disease
27,"Environmental events and other risk factors contribute to depression through converging molecular and cellular mechanisms that disrupt neuronal function and morphology , resulting in dysfunction of the circuitry that is essential for mood regulation and cognitive function .",molecular and cellular mechanisms,molecular and cellular mechanisms,physiology,associated_with,neuronal function,neuronal function,physiology
27,"Environmental events and other risk factors contribute to depression through converging molecular and cellular mechanisms that disrupt neuronal function and morphology , resulting in dysfunction of the circuitry that is essential for mood regulation and cognitive function .",dysfunction of the circuitry,dysfunction of the circuitry,disease,associated_with,mood regulation,mood regulation,physiology
27,"Environmental events and other risk factors contribute to depression through converging molecular and cellular mechanisms that disrupt neuronal function and morphology , resulting in dysfunction of the circuitry that is essential for mood regulation and cognitive function .",dysfunction of the circuitry,dysfunction of the circuitry,disease,associated_with,cognitive function,cognitive function,physiology
28,"Although current antidepressants , such as serotonin-reuptake inhibitors , produce subtle changes that take effect in weeks or months , it has recently been shown that treatment with new agents results in an improvement in mood ratings within hours of dosing patients who are resistant to typical antidepressants .",serotonin-reuptake inhibitors,serotonin-reuptake inhibitors,drug,hyponym_of,antidepressants,antidepressants,drug
29,"Within a similar time scale , these new agents have also been shown to reverse the synaptic deficits caused by stress .",stress,stress,disease,risk_factor_of,synaptic deficits,synaptic deficits,disease
30,"Effects of patient-directed music intervention on anxiety and sedative exposure in critically ill patients receiving mechanical ventilatory support : a randomized clinical trial . IMPORTANCE Alternatives to sedative medications , such as music , may alleviate the anxiety associated with ventilatory support .",anxiety,anxiety,disease,occurs_in,critically ill,critically ill,disease
30,"Effects of patient-directed music intervention on anxiety and sedative exposure in critically ill patients receiving mechanical ventilatory support : a randomized clinical trial . IMPORTANCE Alternatives to sedative medications , such as music , may alleviate the anxiety associated with ventilatory support .",sedative exposure,sedative exposure,Health_factors,occurs_in,critically ill,critically ill,disease
30,"Effects of patient-directed music intervention on anxiety and sedative exposure in critically ill patients receiving mechanical ventilatory support : a randomized clinical trial . IMPORTANCE Alternatives to sedative medications , such as music , may alleviate the anxiety associated with ventilatory support .",mechanical ventilatory support,mechanical ventilatory support,Health_factors,occurs_in,critically ill,critically ill,disease
30,"Effects of patient-directed music intervention on anxiety and sedative exposure in critically ill patients receiving mechanical ventilatory support : a randomized clinical trial . IMPORTANCE Alternatives to sedative medications , such as music , may alleviate the anxiety associated with ventilatory support .",sedative medications,sedative medications,drug,treatment_for,anxiety,anxiety,disease
30,"Effects of patient-directed music intervention on anxiety and sedative exposure in critically ill patients receiving mechanical ventilatory support : a randomized clinical trial . IMPORTANCE Alternatives to sedative medications , such as music , may alleviate the anxiety associated with ventilatory support .",music,music,Health_factors,treatment_for,anxiety,anxiety,disease
30,"Effects of patient-directed music intervention on anxiety and sedative exposure in critically ill patients receiving mechanical ventilatory support : a randomized clinical trial . IMPORTANCE Alternatives to sedative medications , such as music , may alleviate the anxiety associated with ventilatory support .",music,music,Health_factors,hyponym_of,sedative medications,sedative medications,drug
30,"Effects of patient-directed music intervention on anxiety and sedative exposure in critically ill patients receiving mechanical ventilatory support : a randomized clinical trial . IMPORTANCE Alternatives to sedative medications , such as music , may alleviate the anxiety associated with ventilatory support .",anxiety,anxiety,disease,associated_with,ventilatory support,ventilatory support,Health_factors
31,OBJECTIVE To test whether listening to self-initiated patient-directed music ( PDM ) can reduce anxiety and sedative exposure during ventilatory support in critically ill patients .,PDM,pdm,method,abbreviation_for,self-initiated patient-directed music,self-initiated patient-directed music,method
